Name	Total Spent (USD)	Total Spent (TL)	Category1	Category2	Category3	Rating	Play Time (min)
Risk of Rain 2	4.12	131.84	Action	Roguelike	Co-Op	92.33	1115
Chained Together	2.99	95.68	Co-Op Puzzle	Platformer	Indie	87.22	115
Castle Crashers	0.79	25.28	Action	Beat 'em Up	Co-Op	94.78	269
PlateUp!	3.56	113.92	Simulation	Management	Cooking	92.96	708
Content Warning	4.49	143.68	Indie	Horror	Experimental	93.08	169
Lethal Company	5.79	185.28	Cooperative Horror	Survival	Indie	96.33	749
The Wandering Village	1.15	30	Strategy	City Builder	Simulation	87.68	1051
ROUNDS	0.22	5.75	Action	2D Shooter	Party Fighter	93.17	714
Destiny 2	32.75	2327.93	Action	Shooter	MMO	79.5	56758
A Way Out	1.53	39.8	Action-Adventure	Co-Op	Narrative	86.04	0
Counter-Strike 2	124.18	446.25	Shooter	Tactical	FPS	86.63	39993
Pummel Party	0.96	25	Party	Minigames	Multiplayer	87.31	772
Project Winter	2.42	38.67	Social Deduction	Survival	Multiplayer	81.07	26
Hades	1.5	24	Action	Roguelike	Hack-and-Slash	97.18	274
Feign	0.73	11.7	Social Deduction	Indie	Mystery	87.27	1338
Deep Rock Galactic	1.03	16.5	Shooter	Co-Op	PvE	96.15	818
Brawlhalla	12.64	102.6	Fighting	Platform	Multiplayer	81.27	21261
Among Us	1.4	10.5	Social Deduction	Party	Multiplayer	91.08	1368
Fall Guys	5.07	38	Party	Platformer	Battle Royale	80.67	1053
60 second	6	18	Survival	 Dark Humor	Resource Management	91.72	627
60 Parsecs!	2.05	15.41	Survival	Dark Humor	Resource Management	84.83	6
Subnautica	5.33	40	Survival	Exploration	Open-World	95.87	380
Duck Game	0.56	4.2	Shooter	2D Platform	Multiplayer	94.65	68
NBA 2K19	124.27	638.96	Sports	Basketball		39.58	8938
Dead by Daylight	4.29	23.6	Horror	Asymmetric	Multiplayer	79.86	3345
Tom Clancy's Rainbow Six® Siege	64.14	254.94	Shooter	Tactical	FPS	84.01	15743
Slime Rancher	5.64	31	Simulation	Farming	Adventure	96.54	367
Tom Clancy's Ghost Recon® Wildlands	21.25	113.24	Shooter	Tactical	Open-World	78.76	1417
PUBG: BATTLEGROUNDS	47.2	137.43	Shooter	Battle Royale		58.8	15030
NBA 2K18	212.2	502	Sports	Basketball		30.18	11222
Left 4 Dead 2	0.89	3.1	Shooter	Co-Op	Zombies	96.74	376
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4 -Shikamaru's Tale Extra Scenario Pack	17.95	62.81	Fighting	3D Fighter	Anime	89.56	1085
This War of Mine	1.77	6.2	Survival	War-Themed	Strategy	91.59	301
Grand Theft Auto V	60.42	211.48	Action-Adventure	Open-World	Crime Sandbox	86.58	4840
ASTRONEER	9.29	32.5	Adventure	Sandbox	Exploration	90.87	785
PAYDAY 2	20.11	81.89	Shooter	Co-Op	Heist	88.85	7143
Geometry Dash	1.33	4	Platformer	Rhythm	2D	92.54	515
Plague Inc: Evolved	8	24	Strategy	Simulation	Pandemic	92.8	115
The Forest	8	24	Survival	Horror	Open-World	94.66	1357
Goat Simulator + Goatz	2	6	Sandbox	Comedy	Pyhsics	89.3	16
For Honor	42.4	212.01	Action	Fighting	Multiplayer	68.9	1202
Europa Universalis IV	18.47	163.1	Strategy	Grand	Historical	86.1	15941
Esports Life Tycoon	3.64	20	Simulation	Management	Tycoon	59.7	865
Business tour - Board Game with Online Multiplayer	10.6	53.35	Board Game	Multiplayer		60.34	1511
Ace of Spades: Battle Builder	2	6	Shooter	Voxel	Sandbox	64.42	357
Totals	907.12	6448.25				3779.47	222103
